Index,NoDamage,Slight,Moderate,Severe,Complete
Building_T4-60x50-S3-GS_Existing7,0.212132828,0.63716284,0.933212459,1.024971464,1.037564131
Building_T4-60x50-S3-GS_Existing8,0.255359856,0.668175585,0.913861634,0.949474767,0.95120615
Building_T4-60x50-S3-GS_Existing9,0.122498065,0.378078367,0.550950374,0.599063502,0.599066684
Building_T4-60x50-S3-GS_Existing10,0.272779566,0.712345753,0.936667134,0.955171041,0.955352101
Building_T4-100x50-S2-GS_Existing1,0.298623026,0.738059944,1.074016543,1.121315259,1.122125685
Building_T4-100x50-S2-GS_Existing2,0.192452526,0.542124015,0.794329715,0.828740167,0.828775598
Building_T4-100x50-S2-GS_Existing3,0.138133407,0.454744313,0.691866541,0.726872225,0.72688032
Building_T4-100x50-S2-GS_Existing4,0.283011648,0.798568517,1.184453303,1.285342796,1.287720989
Building_T4-100x50-S2-GS_Existing5,0.182172496,0.513141554,0.850632954,0.957326893,0.963003015
Building_T4-100x50-S2-GS_Existing6,0.371253948,0.887831585,1.312347318,1.398987121,1.401703762
Building_T4-100x50-S2-GS_Existing7,0.165715209,0.500315359,0.797081745,0.857597781,0.857643422
Building_T4-100x50-S2-GS_Existing8,0.297819923,0.804404619,1.280361459,1.409455746,1.409660468
Building_T4-100x50-S2-GS_Existing9,0.279889526,0.780220564,1.257901472,1.405635281,1.412543488
Building_T4-100x50-S2-GS_Existing10,0.147523057,0.475458053,0.706664963,0.767668544,0.767721566
